Question #,Type,Question,Sub question,Schwartzman,McLaughlin,Marshall,Hill,Silverman,McDuffie,Bonds
2,Choice,"Do you support Mayor Muriel Bowser’s goal, announced in 2019, to add 36,000 new units of housing in the District by 2025?",,No,Yes,Yes,Yes,Yes,Yes,Yes
3,Choice,"_If successful, the 36,000-unit goal will be met by 2025. However, the District’s population is estimated to grow to 987,000 people by 2045, and the region is expected to have a shortfall of about 690,000 housing units by then._ Will you support a second goal for housing production inthe District by 2045? If the mayor or your colleagues don’t propose a production goal, will you propose one yourself?",,"I'll support another housing production goal, and would be willing to propose one myself.","I'll support another housing production goal, and would be willing to propose one myself.","I'll support another housing production goal, and would be willing to propose one myself.","I'll support another housing production goal, and would be willing to propose one myself.","I'll support another housing production goal, and would be willing to propose one myself.","I'll support another housing production goal, and would be willing to propose one myself.","I'll support another housing production goal, and would be willing to propose one myself."
4,Choice,"With 36,000 presumably completed units as a baseline,_ how many additional units do you think should be built inthe District by 2045?",,"Between 36,000 and 50,000","Over 100,000","Over 100,000","Over 100,000","Over 100,000","Between 50,000 and 100,000","Between 50,000 and 100,000"
5,Choice,"_Housing production in D.C. has been uneven andparticularly concentrated in certain planning areas, such asLower Anacostia Waterfront/Near Southwest._ Do you support the mayor’s goal to set production targets in eacharea of the District to more evenly disperse theconstruction of new housing?",,Yes,Yes,Yes,Yes,Yes,Yes,Yes
6,Rank,"_Council's land use authority is limited: The Home Rule Act states, ""The mayor shall be the central planning agency for the District,"" and councilmembers do not, generally, vote up or down on individual developments, unless they will requirepublic financing, such as tax abatements or TIFs. Councilmembers' most direct influence on land use is through theComprehensive Plan, though they cannot change that unless amendments are proposed by the mayor. However, the council can still act to increase housing production, whether through legislation and budgeting, or by directing the executive to pursue amendments before the zoning commission._ Please rank the policies that would increase housing production in the order that you would request your staff to pursue them, if elected.",,,,,,,,
6a,Option,"_Council's land use authority is limited: The Home Rule Act states, ""The mayor shall be the central planning agency for the District,"" and councilmembers do not, generally, vote up or down on individual developments, unless they will requirepublic financing, such as tax abatements or TIFs. Councilmembers' most direct influence on land use is through theComprehensive Plan, though they cannot change that unless amendments are proposed by the mayor. However, the council can still act to increase housing production, whether through legislation and budgeting, or by directing the executive to pursue amendments before the zoning commission._ Please rank the policies that would increase housing production in the order that you would request your staff to pursue them, if elected.",Legalizing two-unit buildings District-wide,0,2,5,7,4,6,8
6b,Option,"_Council's land use authority is limited: The Home Rule Act states, ""The mayor shall be the central planning agency for the District,"" and councilmembers do not, generally, vote up or down on individual developments, unless they will requirepublic financing, such as tax abatements or TIFs. Councilmembers' most direct influence on land use is through theComprehensive Plan, though they cannot change that unless amendments are proposed by the mayor. However, the council can still act to increase housing production, whether through legislation and budgeting, or by directing the executive to pursue amendments before the zoning commission._ Please rank the policies that would increase housing production in the order that you would request your staff to pursue them, if elected.",Legalizing four-unit buildings District-wide,0,1,6,5,5,7,2
6c,Option,"_Council's land use authority is limited: The Home Rule Act states, ""The mayor shall be the central planning agency for the District,"" and councilmembers do not, generally, vote up or down on individual developments, unless they will requirepublic financing, such as tax abatements or TIFs. Councilmembers' most direct influence on land use is through theComprehensive Plan, though they cannot change that unless amendments are proposed by the mayor. However, the council can still act to increase housing production, whether through legislation and budgeting, or by directing the executive to pursue amendments before the zoning commission._ Please rank the policies that would increase housing production in the order that you would request your staff to pursue them, if elected.",Subsidizing individual homeowners to construct ADUs,0,9,4,2,6,4,5
6d,Option,"_Council's land use authority is limited: The Home Rule Act states, ""The mayor shall be the central planning agency for the District,"" and councilmembers do not, generally, vote up or down on individual developments, unless they will requirepublic financing, such as tax abatements or TIFs. Councilmembers' most direct influence on land use is through theComprehensive Plan, though they cannot change that unless amendments are proposed by the mayor. However, the council can still act to increase housing production, whether through legislation and budgeting, or by directing the executive to pursue amendments before the zoning commission._ Please rank the policies that would increase housing production in the order that you would request your staff to pursue them, if elected.",Increasing the percentage of affordable housing required inpublic-land dispositions,1,3,2,1,2,1,1
6e,Option,"_Council's land use authority is limited: The Home Rule Act states, ""The mayor shall be the central planning agency for the District,"" and councilmembers do not, generally, vote up or down on individual developments, unless they will requirepublic financing, such as tax abatements or TIFs. Councilmembers' most direct influence on land use is through theComprehensive Plan, though they cannot change that unless amendments are proposed by the mayor. However, the council can still act to increase housing production, whether through legislation and budgeting, or by directing the executive to pursue amendments before the zoning commission._ Please rank the policies that would increase housing production in the order that you would request your staff to pursue them, if elected.",Incentivizing the conversion of office buildings to residentialproperties,2,7,8,3,7,2,3
6f,Option,"_Council's land use authority is limited: The Home Rule Act states, ""The mayor shall be the central planning agency for the District,"" and councilmembers do not, generally, vote up or down on individual developments, unless they will requirepublic financing, such as tax abatements or TIFs. Councilmembers' most direct influence on land use is through theComprehensive Plan, though they cannot change that unless amendments are proposed by the mayor. However, the council can still act to increase housing production, whether through legislation and budgeting, or by directing the executive to pursue amendments before the zoning commission._ Please rank the policies that would increase housing production in the order that you would request your staff to pursue them, if elected.",Eliminating the Height Act,0,8,9,8,9,9,9
