Photo,Candidate,Race,"_Internal data for WMATA estimates that bus delays cost the system about $14 million per year. Buses are primarily delayed by sitting in single-occupancy vehicle traffic. Bus riders are more frequently Black and brown, and less affluent, than rail riders and drivers._ Would you, as a councilmember, support removing single-occupancy vehicle parking and travel lanes for dedicated bus lanes, which make bus service faster and more reliable?","_A 12-year study, published in 2019, found that protected bike lanes drastically lowered fatal crash rates *for all road users* in Seattle (-60.6%), San Francisco (-49.3%), Denver (-40.3%) and Chicago (-38.2%), among others. The Washington Post recently reported that “lower-income neighborhoods in the District recorded eight times more traffic fatalities in recent years than the city’s wealthiest area,” and that the “40 traffic fatalities in the nation’s capital last year were the most since 2007.”_ Would you, as a councilmember, support removing single-occupancy vehicle parking and travel lanes for protected bike lanes?","_Road pricing, or congestion pricing, in which motorists pay directly for driving on a particular road or in a particular area, has successfully reduced congestion, improved air quality, and raised money in London, Stockholm, and Singapore by reducing the number of vehicles on the road and improving transit performance. New York will be implementing road pricing in the next few years. However, many drivers are loathe to pay for something that they currently get for free._ Would you, as a councilmember, support road pricing as a means to reduce congestion to speed up transit, improve air quality, and raise revenue?","_In 2019, the council budgeted $475,000 for a road pricing study. The study is complete, but Mayor Bowser has not yet released it._ Do you think the study should be made public?","Do you support Councilmember Charles Allen's Metro for D.C. proposal, which would ""put a recurring $100 balance to D.C. residents’ SmarTrip cards every month and make a $10 million annual investment in improving bus service and infrastructure in the District""?","Assuming $500 million could be invested in either fare-free transit for all users or guaranteed headways of 10 minutes or less on bus lines within D.C., which would you prefer?"
Nadeau.jpg,Brianne Nadeau,Ward 1,Yes,Yes,Yes,Yes,Yes,Guaranteed headways of 10 minutes or less within D.C.
Harris.jpg,Sabel Harris,Ward 1,Yes,Yes,Yes,Yes,Yes,Guaranteed headways of 10 minutes or less within D.C.
Bergmann.jpg,Ben Bergmann,Ward 3,Yes,Yes,Yes,Yes,Yes,Guaranteed headways of 10 minutes or less within D.C.
Brown.jpg,Deirdre Brown,Ward 3,Yes,Yes,Yes,Yes,Yes,Guaranteed headways of 10 minutes or less within D.C.
Duncan.jpg,Tricia Duncan,Ward 3,Yes,Yes,Yes,Yes,Yes,Guaranteed headways of 10 minutes or less within D.C.
Finley.jpg,Beau Finley,Ward 3,Yes,Yes,Yes,Yes,Yes,Guaranteed headways of 10 minutes or less within D.C.
Frumin.jpg,Matt Frumin,Ward 3,Yes,Yes,Yes,Yes,Yes,Guaranteed headways of 10 minutes or less within D.C.
Thomas.jpg,Phil Thomas,Ward 3,Yes,No,Yes,Yes,Yes,Fare-free transit
Fletcher.jpg,Gordon Andrew Fletcher,Ward 5,Yes,Yes,No,Yes,Yes,Guaranteed headways of 10 minutes or less within D.C.
Hubbard.jpg,Faith Gibson Hubbard,Ward 5,Yes,Yes,Yes,Yes,Yes,Guaranteed headways of 10 minutes or less within D.C.
Parker.jpg,Zachary Parker,Ward 5,Yes,Yes,Yes,Yes,Yes,Fare-free transit
Allen.jpg,Charles Allen,Ward 6,Yes,Yes,Yes,Yes,Yes,Guaranteed headways of 10 minutes or less within D.C.
Bonds.jpg,Anita Bonds,At-Large,Yes,Yes,Yes,Yes,Yes,Guaranteed headways of 10 minutes or less within D.C.
Gore.jpg,Lisa Gore,At-Large,Yes,Yes,Yes,Yes,Yes,Fare-free transit
Jenkins.jpg,Leniqua'dominique Jenkins,At-Large,Yes,Yes,Yes,Yes,Yes,Guaranteed headways of 10 minutes or less within D.C.
Williams.jpg,Dexter Williams,At-Large,Yes,Yes,Yes,Yes,Yes,Guaranteed headways of 10 minutes or less within D.C.
Palmer.jpg,Erin Palmer,Chair,Yes,Yes,Yes,Yes,Yes,Guaranteed headways of 10 minutes or less within D.C.
_blank.jpg,Salah Czapary,Ward 1,,,,,,
_blank.jpg,Henry Cohen,Ward 3,,,,,,
_blank.jpg,Eric Goulet,Ward 3,,,,,,
_blank.jpg,Kathy Henderson,Ward 5,,,,,,
_blank.jpg,Gary To-To Johnson,Ward 5,,,,,,
_blank.jpg,Art Lloyd,Ward 5,,,,,,
_blank.jpg,Vincent Orange,Ward 5,,,,,,
_blank.jpg,Lauren Rogers,Ward 5,,,,,,
_blank.jpg,Ray L. West,Ward 5,,,,,,
_blank.jpg,Sharece Crawford,At-Large,,,,,,
_blank.jpg,Nate Fleming,At-Large,,,,,,
_blank.jpg,Jimmie Jenkins,At-Large,,,,,,
_blank.jpg,Ambrose Lane Jr.,At-Large,,,,,,
_blank.jpg,Paul Trantham,At-Large,,,,,,
_blank.jpg,Phil Mendelson,Chair,,,,,,
_blank.jpg,Calvin Gurley,Chair,,,,,,
