Question,Sub question,Type,Anita Bonds,Kenyan R. McDuffie,Karim D. Marshall,Frederick Hill III,Graham McLaughlin,David Schwartzman,Elissa Silverman
"Do you support Mayor Muriel Bowser's goal, announced in 2019, to add 36,000 new units of housing in the District by 2025?",Response,Response,1. Yes,1. Yes,1. Yes,1. Yes,1. Yes,2. No,Yes
"_If successful, the 36,000-unit goal will be met by 2025. However, the District's population is estimated to grow to 987,000 people by 2045, and the region is expected to have a shortfall of about 690,000 housing units by then._ Will you support a second goal for housing production in the District by 2045? If the mayor or your colleagues don't propose a production goal, will you propose one yourself?",Response,Response,"I'll support another housing production goal, and would be willing to propose one myself.","I'll support another housing production goal, and would be willing to propose one myself.","I'll support another housing production goal, and would be willing to propose one myself.","I'll support another housing production goal, and would be willing to propose one myself.","I'll support another housing production goal, and would be willing to propose one myself.","I'll support another housing production goal, and would be willing to propose one myself.","I'll support another housing production goal, and would be willing to propose one myself."
"_With 36,000 presumably completed units as a baseline,_ how many additional units do you think should be built in the District by 2045?",Response,Response,"Between 50,000 and 100,000","Between 50,000 and 100,000","Over 100,000","Over 100,000","Over 100,000","Between 36,000 and 50,000","Over 100,000"
"_Housing production in D.C. has been uneven and particularly concentrated in certain planning areas, such as Lower Anacostia Waterfront/Near Southwest._ Do you support the mayor's goal to set production targets in each area of the District to more evenly disperse the construction of new housing?",Response,Response,1. Yes,1. Yes,1. Yes,1. Yes,1. Yes,1. Yes,Yes
"_Council's land use authority is limited: The Home Rule Act states, ""The mayor shall be the central planning agency for the District,"" and councilmembers do not, generally, vote up or down on individual developments, unless they will require public financing, such as tax abatements or TIFs. Councilmembers' most direct influence on land use is through the Comprehensive Plan, though they cannot change that unless amendments are proposed by the mayor.However, the council can still act to increase housing production, whether through legislation and budgeting, or by directing the executive to pursue amendments before the zoning commission._ Please rank the following policies that would increase housing production in the order that you would request your staff to pursue them, if elected.",would not pursue|ordered,Rank,,,,,,,
"_Council's land use authority is limited: The Home Rule Act states, ""The mayor shall be the central planning agency for the District,"" and councilmembers do not, generally, vote up or down on individual developments, unless they will require public financing, such as tax abatements or TIFs. Councilmembers' most direct influence on land use is through the Comprehensive Plan, though they cannot change that unless amendments are proposed by the mayor.However, the council can still act to increase housing production, whether through legislation and budgeting, or by directing the executive to pursue amendments before the zoning commission._ Please rank the following policies that would increase housing production in the order that you would request your staff to pursue them, if elected.",Legalizing two-unit buildings District-wide,Option,8,6,5,7,2,N/A,4
"_Council's land use authority is limited: The Home Rule Act states, ""The mayor shall be the central planning agency for the District,"" and councilmembers do not, generally, vote up or down on individual developments, unless they will require public financing, such as tax abatements or TIFs. Councilmembers' most direct influence on land use is through the Comprehensive Plan, though they cannot change that unless amendments are proposed by the mayor.However, the council can still act to increase housing production, whether through legislation and budgeting, or by directing the executive to pursue amendments before the zoning commission._ Please rank the following policies that would increase housing production in the order that you would request your staff to pursue them, if elected.",Legalizing four-unit buildings District-wide,Option,2,7,6,5,1,N/A,5
"_Council's land use authority is limited: The Home Rule Act states, ""The mayor shall be the central planning agency for the District,"" and councilmembers do not, generally, vote up or down on individual developments, unless they will require public financing, such as tax abatements or TIFs. Councilmembers' most direct influence on land use is through the Comprehensive Plan, though they cannot change that unless amendments are proposed by the mayor.However, the council can still act to increase housing production, whether through legislation and budgeting, or by directing the executive to pursue amendments before the zoning commission._ Please rank the following policies that would increase housing production in the order that you would request your staff to pursue them, if elected.",Subsidizing individual homeowners to construct ADUs,Option,5,4,4,2,9,N/A,6
"_Council's land use authority is limited: The Home Rule Act states, ""The mayor shall be the central planning agency for the District,"" and councilmembers do not, generally, vote up or down on individual developments, unless they will require public financing, such as tax abatements or TIFs. Councilmembers' most direct influence on land use is through the Comprehensive Plan, though they cannot change that unless amendments are proposed by the mayor.However, the council can still act to increase housing production, whether through legislation and budgeting, or by directing the executive to pursue amendments before the zoning commission._ Please rank the following policies that would increase housing production in the order that you would request your staff to pursue them, if elected.",Increasing the percentage of affordable housing required in public-land dispositions,Option,1,1,2,1,3,1,2
"_Council's land use authority is limited: The Home Rule Act states, ""The mayor shall be the central planning agency for the District,"" and councilmembers do not, generally, vote up or down on individual developments, unless they will require public financing, such as tax abatements or TIFs. Councilmembers' most direct influence on land use is through the Comprehensive Plan, though they cannot change that unless amendments are proposed by the mayor.However, the council can still act to increase housing production, whether through legislation and budgeting, or by directing the executive to pursue amendments before the zoning commission._ Please rank the following policies that would increase housing production in the order that you would request your staff to pursue them, if elected.",Incentivizing the conversion of office buildings to residential properties,Option,3,2,8,3,7,2,7
