Photo,Candidate,Race,"_On-street parking occurs in public space, which means that an on-street parking spot cannot belong to a specific individual, and people park in different places at different times._ What do you consider the threshold which is reasonable to expect to park in a neighborhood, most of the time?"
Williams.jpg,Dexter Williams,At-Large,"1. within 100 feet, or about a 30-second walk"
Brown.jpg,Deirdre Brown,Ward 3,"2. on the precise block, about a one-minute walk"
Duncan.jpg,Tricia Duncan,Ward 3,"3. within one block in any direction, about a two- to four-minute walk"
Nadeau.jpg,Brianne Nadeau,Ward 1,"4. within two-to-three blocks, about a five- to seven-minute walk"
Harris.jpg,Sabel Harris,Ward 1,"4. within two-to-three blocks, about a five- to seven-minute walk"
Finley.jpg,Beau Finley,Ward 3,"4. within two-to-three blocks, about a five- to seven-minute walk"
Frumin.jpg,Matt Frumin,Ward 3,"3. within one block in any direction, about a two- to four-minute walk"
Thomas.jpg,Phil Thomas,Ward 3,"3. within one block in any direction, about a two- to four-minute walk"
Fletcher.jpg,Gordon Andrew Fletcher,Ward 5,"3. within one block in any direction, about a two- to four-minute walk"
Hubbard.jpg,Faith Gibson Hubbard,Ward 5,"2. on the precise block, about a one-minute walk"
Parker.jpg,Zachary Parker,Ward 5,"3. within one block in any direction, about a two- to four-minute walk"
Allen.jpg,Charles Allen,Ward 6,"4. within two-to-three blocks, about a five- to seven-minute walk"
Bonds.jpg,Anita Bonds,At-Large,"3. within one block in any direction, about a two- to four-minute walk"
Gore.jpg,Lisa Gore,At-Large,"3. within one block in any direction, about a two- to four-minute walk"
Jenkins.jpg,Leniqua'dominique Jenkins,At-Large,"4. within two-to-three blocks, about a five- to seven-minute walk"
Palmer.jpg,Erin Palmer, Chair,"4. within two-to-three blocks, about a five- to seven-minute walk"
Bergmann.jpg,Ben Bergmann,Ward 3,"5. within the general neighborhood, about a ten-minute walk"
